username,handle,postDate,responding,retweets,likes
SPS,@Yasmin160118,2023-07-08T08:14:42.000Z,"@IndiHome sore, balas dm saya 150",,
BWR,@Belawr77965871,2023-07-08T08:12:54.000Z,mau tanya dong @IndiHome 151,,
Andi Odank,@AndiOda68941289,2023-07-08T08:11:56.000Z,@IndiHome 145,,
supramen,@leslaiii3,2023-07-08T08:10:29.000Z,@IndiHome cek dm 120,,
Fitri Yani,@FitriYa8756578,2023-07-08T08:09:37.000Z,@IndiHome mau upgrade speed nih 246,,
dan,@dandiabil,2023-07-08T07:47:47.000Z,"indihomo goblok, baru dibenerin udah loss lagi aja @IndiHome 392",,
popice_vanillablue,@teponggggg,2023-07-08T07:45:33.000Z,Replying to @AudreyAshd and @IndiHome @IndiHome @IndiHomeCare @indihomejkt,,
Bagus,@Bagus3131_,2023-07-08T07:42:30.000Z,@IndiHome pinggg 132,,
Raditya,@RXavario,2023-07-08T07:10:15.000Z,Cek paket indihome yg baru min @IndiHome 151,,
putrilaila,@putrila_ila,2023-07-08T07:09:26.000Z,Min nanya min @IndiHome 144,,
Bilqis85,@Bilqis85260147,2023-07-08T07:09:04.000Z,Kak @IndiHome 144,,
tyler durden,@meksthekidd,2023-07-08T07:08:52.000Z,LO KENAPA LEMOT MULU DAH MIN? APA CUMAN PENGGUNA LAMA DOANG YG LO BIKIN LEMOT? 30 MBPS RASA 10 MBPS!! @IndiHomeCare @IndiHome 192,,
yanza.,@icygreenteaaa,2023-07-08T06:55:31.000Z,ada aja tingkahnya @IndiHome 151,,
Gwnf5066,@NaraedhaWigar,2023-07-08T06:53:38.000Z,"@IndiHomeCare @IndiHome Udah gangguan, mahal, customer carenya gak kompeten anjingDah 2 hari indihome gangguan, udah w suruh cek DM malah lama banget responnya, katanya udah diperbaiki, eh malah tetep aja gangguan, udah gw kasih informasi kepemilikan indihome gw tetep aja ajg. 162",,
Bakul Sayur,@ipramono_,2023-07-08T06:49:15.000Z,Apa lagi gangguan min @IndiHomeCare @IndiHome 190,,
ayub nullik,@ayubnullik,2023-07-08T06:48:20.000Z,"Halo Indihome, saya mau upgrade 20Mbps ke 40Mbps, kena berapa sebulan @IndiHomeCare @IndiHome 146",,
Audrey,@AudreyAshd,2023-07-08T06:43:06.000Z,"@IndiHome wifi bermasalah, kedip"" merah, ga konek. Bisa datangkan teknisi kerumah? 145",,
wiradhaninjaya,@wiradhaninjaya,2023-07-08T06:12:33.000Z,"@IndiHome Misi, cek DM 133",,
SHOEPLE™,@canny_shoeple,2023-07-08T06:11:32.000Z,@IndiHomeCare @IndiHome gimana solusi lupa username & password login modem? Sebelumnya sudah diganti oleh CS tapi sudah lupa 153,,
Audrey,@AudreyAshd,2023-07-08T05:59:24.000Z,"Wifi bermasalah, ga konek kedio"" merah @IndiHome 69",,
Audrey,@AudreyAshd,2023-07-08T05:57:13.000Z,"Ga konek, kedip"" merah, wifi eror @IndiHome 56",,
Audrey,@AudreyAshd,2023-07-08T05:56:33.000Z,"Kedip"" merah, ga konek, wifi eror @IndiHome 53",,
Audrey,@AudreyAshd,2023-07-08T05:55:10.000Z,"Wifi kedip"" merah, ga konek, wifi eror @IndiHome 31101",,1.0
